iteration,timestamp,nvehicles,ntripupdates,what,wall,cpu
0,1567011611,22,20,"loading vehicle positions",9.56959,0.623
0,1567011611,22,20,"updating vehicle information",0.157459,0.1
0,1567011611,22,20,"updating vehicle states",557.886,758.214
0,1567011611,22,20,"updating network state",0.355255,1.066
0,1567011611,22,20,"predicting ETAs",32043.2,33273.6
0,1567011611,22,20,"writing ETAs to protobuf feed",212.372,234.075
1,1567011633,23,20,"loading vehicle positions",9.46654,0.546
1,1567011633,23,20,"updating vehicle information",0.067962,0.068
1,1567011633,23,20,"updating vehicle states",160.553,350.981
1,1567011633,23,20,"updating network state",0.577347,1.519
1,1567011633,23,20,"predicting ETAs",192.417,421.745
1,1567011633,23,20,"writing ETAs to protobuf feed",221.209,243.451
2,1567011663,25,22,"loading vehicle positions",9.27003,0.517
2,1567011663,25,22,"updating vehicle information",0.081686,0.082
2,1567011663,25,22,"updating vehicle states",195.118,448.739
2,1567011663,25,22,"updating network state",0.390754,0.644
2,1567011663,25,22,"predicting ETAs",256.124,515.251
2,1567011663,25,22,"writing ETAs to protobuf feed",213.969,234.205
3,1567011694,25,23,"loading vehicle positions",9.36582,0.503
3,1567011694,25,23,"updating vehicle information",0.132414,0.082
3,1567011694,25,23,"updating vehicle states",186.035,395.016
3,1567011694,25,23,"updating network state",0.40579,0.705
3,1567011694,25,23,"predicting ETAs",202.817,439.125
3,1567011694,25,23,"writing ETAs to protobuf feed",211.901,234.081
4,1567011723,26,24,"loading vehicle positions",9.48749,0.525
4,1567011723,26,24,"updating vehicle information",0.079596,0.079
4,1567011723,26,24,"updating vehicle states",162.304,387.386
4,1567011723,26,24,"updating network state",0.395426,0.695
4,1567011723,26,24,"predicting ETAs",240.032,483.013
4,1567011723,26,24,"writing ETAs to protobuf feed",212.054,233.553
5,1567011753,26,24,"loading vehicle positions",9.54432,0.526
5,1567011753,26,24,"updating vehicle information",0.077562,0.078
5,1567011753,26,24,"updating vehicle states",229.467,535.835
5,1567011753,26,24,"updating network state",0.386548,0.973
5,1567011753,26,24,"predicting ETAs",228.18,388.653
5,1567011753,26,24,"writing ETAs to protobuf feed",215.287,235.376
6,1567011784,26,25,"loading vehicle positions",9.76904,0.617
6,1567011784,26,25,"updating vehicle information",0.084113,0.084
6,1567011784,26,25,"updating vehicle states",181.579,418.077
6,1567011784,26,25,"updating network state",0.374797,0.749
6,1567011784,26,25,"predicting ETAs",215.401,453.779
6,1567011784,26,25,"writing ETAs to protobuf feed",216.43,235.475
7,1567011813,26,25,"loading vehicle positions",9.83854,0.57
7,1567011813,26,25,"updating vehicle information",0.083431,0.084
7,1567011813,26,25,"updating vehicle states",146.355,309.44
7,1567011813,26,25,"updating network state",0.370502,0.719
7,1567011813,26,25,"predicting ETAs",212.931,454.557
7,1567011813,26,25,"writing ETAs to protobuf feed",212.922,234.891
8,1567011844,26,25,"loading vehicle positions",9.22255,0.464
8,1567011844,26,25,"updating vehicle information",0.140246,0.09
8,1567011844,26,25,"updating vehicle states",176.53,413.614
8,1567011844,26,25,"updating network state",0.467863,1.339
8,1567011844,26,25,"predicting ETAs",486.499,798.289
8,1567011844,26,25,"writing ETAs to protobuf feed",214.96,236.888
9,1567011875,26,25,"loading vehicle positions",9.07024,0.473
9,1567011875,26,25,"updating vehicle information",0.079857,0.08
9,1567011875,26,25,"updating vehicle states",177.25,468.953
9,1567011875,26,25,"updating network state",0.381616,1.147
9,1567011875,26,25,"predicting ETAs",222.15,465.971
9,1567011875,26,25,"writing ETAs to protobuf feed",218.221,236.618
10,1567011905,26,25,"loading vehicle positions",9.379,0.577
10,1567011905,26,25,"updating vehicle information",0.079785,0.08
10,1567011905,26,25,"updating vehicle states",219.814,458.04
10,1567011905,26,25,"updating network state",0.524855,1.196
